date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:01	77090/77090	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:36:05%20GMT	https://appventureztech.in/	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/index.html	(from )
15:33:01	120/120	---MCZ	200	added ('OK')	text/plain	date:Tue,%2006%20Aug%202024%2010:03:01%20GMT	https://appventureztech.in/robots.txt		(from )
15:33:02	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2266348085-b4e%22	https://appventureztech.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.7	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/plugins/contact-form-7/includes/css/styles38d6.css	(from https://appventureztech.in/)
15:33:02	21275/21275	---MCZ	200	added ('OK')	text/css	etag:W/%2266347ff6-531b%22	https://appventureztech.in/wp-content/plugins/country-phone-field-contact-form-7/assets/css/intlTelInput.min.css?ver=6.6.1	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/plugins/country-phone-field-contact-form-7/assets/css/intlTelInput.minb6a4.css	(from https://appventureztech.in/)
15:33:03	20493/20493	---MCZ	200	added ('OK')	text/css	etag:W/%2266347ff7-500d%22	https://appventureztech.in/wp-content/plugins/country-phone-field-contact-form-7/assets/css/countrySelect.min.css?ver=6.6.1	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/plugins/country-phone-field-contact-form-7/assets/css/countrySelect.minb6a4.css	(from https://appventureztech.in/)
15:33:03	94160/94160	---MCZ	200	added ('OK')	text/css	etag:W/%22664735c3-16fd0%22	https://appventureztech.in/wp-content/themes/appventurez_theme/css/style.css	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/themes/appventurez_theme/css/style.css	(from https://appventureztech.in/)
15:33:03	128914/128914	---MCZ	200	added ('OK')	text/css	etag:W/%22663492b9-1f792%22	https://appventureztech.in/wp-content/themes/appventurez_theme/css/style-second.css	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/themes/appventurez_theme/css/style-second.css	(from https://appventureztech.in/)
15:33:03	129664/129664	---MCZ	200	added ('OK')	text/css	etag:W/%22663492ab-1fa80%22	https://appventureztech.in/wp-content/themes/appventurez_theme/css/style2.css	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/themes/appventurez_theme/css/style2.css	(from https://appventureztech.in/)
15:33:03	900/900	---M--	200	added ('OK')	image/png	etag:%2266472fcc-384%22	https://appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-32x32.png	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-32x32.png	(from https://appventureztech.in/)
15:33:04	6077/6077	---M--	200	added ('OK')	image/png	etag:%2266472fcc-17bd%22	https://appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-192x192.png	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-192x192.png	(from https://appventureztech.in/)
15:33:04	5632/5632	---M--	200	added ('OK')	image/png	etag:%2266472fcc-1600%22	https://appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-180x180.png	C:/My%20Web%20Sites/https___appventureztech.in_/appventureztech.in/wp-content/uploads/2024/05/cropped-Appventurez-Favicon-180x180.png	(from https://appventureztech.in/)
